"","Agency responsible for death"
"163","San Bruno Police Department (CA)"
"164","Union City Police Department (CA)"
"165","Leesburg Police Department (GA)"
"166","Snohomish County Sheriff's Office (WA)"
"167","Florissant Police Department (MO)"
"168","Coffeeville Police Department (MS)"
"169","Boca Raton Police Department (FL)"
"170","Plumas County Sheriff's Office (CA)"
"171","Warren Police Department (OH)"
"172","Visalia Police Department (CA)"
"173","Richland County Sheriff's Office (SC)"
"174","Carmel Police Department (IN)"
"175","St. Petersburg Police Department (FL)"
"176","Oregon State Police (WA)"
"177","Kansas Bureau of Investigation (KS)"
"178","Memphis Police Department (TN)"
"179","Shreveport Police Department (LA)"
"180","Barbour County Sheriff's Department (AL)"
"181","Anderson County Sheriff's Office (SC)"
"182","Ozark Police Department (AL)"
"183","Sioux Falls Police Department (SD)"
"184","Sparks Police Department (NV)"
"185","Rochester Police Department (NY)"
"186","Fayetteville Police Department (NC)"
"187","Lorain Police Department (OH)"
"188","Kentucky State Police Department (KY)"
"189","New Hanover County Sheriff's Department (NC)"
"190","Hazleton Police Department (PA)"
"191","Polk County Sheriff's Office (FL)"
"192","Jefferson County Sheriff's Office (MO)"
"193","Moreno Valley Police Department (CA)"
"194","Sullivan County Sheriff's Office (TN)"
"195","Buncombe County Sheriff's Office (NC)"
"196","Wheeling Police Department (WV)"
"197","Waycross Police Department (GA)"
"198","Parker County Sheriff's Department (TX)"
"199","Blue Island Police Department (IL)"
"200","Garland County Sheriff's Office (AR)"
"201","Brown County Sheriff's Department (OH)"
"202","Redding Police Department (CA)"
"203","Sparta Police Department (WI)"
"204","Cleveland Division of Police (OH)"
"205","Arkansas State Police (AR)"
"206","U.S. Capitol Police (DC)"
"207","Prince George's County Police Department (MD)"
"208","New Hampshire State Police (NH)"
"209","Freeport Police Department (TX)"
"210","Grantsville Police (UT)"
"211","Asheville Police Department (NC)"
"212","Harford County Special Response Team (MD)"
"213","Howard County Sheriff's Deputy (TX)"
"214","Mobile County Sheriff's Office (AL)"
"215","Gonzales County Sheriff's Department (TX)"
"216","Port Orange Police Department (FL)"
"217","North Carolina Central University Police (NC)"
"218","Orange County Sheriff's Department (CA)"
"219","Plainfield Police Department (IN)"
"220","St. Charles County Sheriff's Office (MO)"
"221","Brockton Police Department (MA)"
"222","Massachusetts State Police Department (MA)"
"223","Chico Police Department (CA)"
"224","Culver City Police Department (CA)"
"225","Logan County Sheriff's Office (OK)"
"226","Denver Police Department (CO)"
"227","Tulare County Sheriff's Department (CA)"
"228","Harris County Sheriff's Office (TX)"
"229","Winter Garden Police Department (FL)"
"230","Not reported (CA)"
"231","Richland County Sheriff's Department (SC)"
"232","Avondale Police Department (AZ)"
"233","Portsmouth Police Department (VA)"
"234","Savannah-Chatham Police Department (GA)"
"235","Charlotte-Mecklenburg Police Department (NC)"
"236","Philadelphia Police Department (PA)"
"237","Tempe Police Department (AZ)"
"238","Menifee Police Department (CA)"
"239","Annapolis Police Department (MD)"
"240","Henderson County Sheriff's Office (TX)"
"241","Pittsburgh Bureau of Police (PA)"
"242","Pine Bluff Police Department SWAT (AR)"
"243","Marion County Sheriff's Department (TN)"
"244","Ventura County Sheriff's Office (CA)"
"245","Hillsborough County Sheriff's Office (FL)"
"246","Mobile Police Department (AL)"
"247","Port Hueneme Police Department (CA)"
"248","Fulton County Sheriff's Office (GA)"
"249","Lynn Police Department (MA)"
"250","Santa Clara Police Department / Santa Clara County Sheriff's Office (CA)"
"251","West Manheim Police Department (PA)"
"252","Verona Police Department (MS)"
"253","Los Banos Police Department (CA)"
"254","Knox County Sheriff's Office (KY)"
"255","Pinecrest Police Department (FL)"
"256","New Britain Police Department (CT)"
"257","Santa Barbara Police Departent (CA)"
"258","Bexar County Sheriff's Office (TX)"
"259","Thornton Police Department (CO)"
"260","Geneva on the Lake Police Department (OH)"
"261","Oregon State Police (OR)"
"262","Gwinnett County Police Department (GA)"
"263","Tarrant County Sheriff's Department (TX)"
"264","Broward County Sheriff's Office (FL)"
"265","Baltimore County Police Department (MD)"
"266","Antioch Police Department (CA)"
"267","Detroit Police Department (MI)"
"268","Columbia County Sheriff's Department (GA)"
"269","Coeur d'Alene Police Department (ID)"
"270","San Diego County Sheriff's Department (CA)"
"271","Simi Valley Police Department (CA)"
"272","Brooklyn Center Police Department (MN)"
"273","Mesa Police Department (AZ)"
"274","Danvers Police Department (MA)"
"275","Fort Morgan Police Department (CO)"
"276","Desert Hot Springs Police Department (CA)"
"277","Spokane Police Department (WA)"
"278","Blount County Sheriff's Department (TN)"
"279","Henderson Police Department (NV)"
"280","East Fishkill Police Department (NY)"
"281","Natchitoches Police Department (LA)"
"282","Klamath Falls Police Department (OR)"
"283","Hanahan Police Department (SC)"
"284","Jefferson City Police Department (TN)"
"285","San Angelo Police Department (TX)"
"286","California State University Police Department (CA)"
"287","Madison Police Department (WI)"
"288","Polk County Police Department (GA)"
"289","East Millinocket Police Department (ME)"
"290","Harford County Sheriff's Office (MD)"
"291","Kauai Police Department (HI)"
"292","Redondo Beach Police Department (CA)"
"293","St. Paul Police Department (MN)"
"294","Mohave County Sheriff's Office (AZ)"
"295","Trenton Police Department (NJ)"
"296","Louisville Metro Police Department (KY)"
"297","Fleming County Sheriff""s Department (KY)"
"298","Crow Wing County Sheriff's Office (MN)"
"299","Hayward Police Department (CA)"
"300","Middlesboro Police Department (KY)"
"301","Louisiana State Police (LA)"
"302","Weare Police Department (NH)"
"303","Hamilton County Sheriff's Office (OH)"
"304","Gloster Police Department (MS)"
"305","Manheim Borough Police Department (PA)"
"306","Boone County Sheriff's Department (IL)"
"307","ADA County Sheriff's Office (ID)"
"308","Lauderdale County Sheriff's Department (AL)"
"309","Huntsville Police Department (AL)"
"310","Isle of Wight County Sheriff's Office (VA)"
"311","Pasco County Sheriff's Office (FL)"
"312","Sunnyvale Police Department (CA)"
"313","Cook County Sheriff's Office (IN)"
"314","Kansas City KS Police Department (MO)"
"315","Nacogdoches County Sheriff's Office (TX)"
"316","Carlsbad Police Department (NM)"
"317","Bernalillo County Sheriff's Office (NM)"
"318","Huntington Beach Police Department (CA)"
"319","Warr Acres Police Department (OK)"
"320","Greene County Combined SWAT Team (OH)"
"321","Conroe Police Department (TX)"
"322","Fife Police Department (WA)"
"323","Benton Police Department (AR)"
"324","Federal Bureau of Investigation (LA)"
"325","Santa Ana Police Department (CA)"
"326","Lee County Sheriff's Office (FL)"
"327","Hamilton County Sheriff's Office (AL)"
"328","Winfield Police Department (AL)"
"329","El Paso Police Department (TX)"
"330","Topeka Police Department (KS)"
"331","Garland Police Department (TX)"
"332","Stark County Sheriff's Office (OH)"
"333","Baton Rouge Police Department (LA)"
"334","Albany Police Department (TX)"
"335","Western Berks Regional Police (PA)"
"336","Moorsetown Police Department (NJ)"
"337","Salinas Police Department (CA)"
"338","Austin Police Department (TX)"
"339","Union County Sheriff's Office (NC)"
"340","Suffolk County Police Department (NY)"
"341","Cincinnati Police Department (OH)"
"342","Coralville Police Department (IA)"
"343","Wilson County Sheriff's Office (NC)"
"344","Grand Forks Air Force Base Security (ND)"
"345","Wilmington Police Department (DE)"
"346","Paulding Sheriff's Office (GA)"
"347","Montana Highway Patrol (MT)"
"348","Vacaville Police Department (CA)"
"349","Alameda Police Department (CA)"
"350","Shasta County SWAT team (CA)"
"351","Oil City Police Department (PA)"
"352","St. Louis Park Police Department (MN)"
"353","Lafayette Police Department (LA)"
"354","Killeen Police Department (TX)"
"355","Johnson County Sheriff's Office (IN)"
"356","Reno Police Department (NV)"
"357","Wichita Police Department (KS)"
"358","Lakewood Police Department (CO)"
"359","Texas Department of Public Safety (TX)"
"360","St. Cloud Police Department (FL)"
"361","Belleville Police Department (NJ)"
"362","Yuma County Sheriff's Office (AZ)"
"363","Hazelwood Police Department (MO)"
"364","Sewickley Police Department (PA)"
"365","Panama City Police (FL)"
"366","Pooler Police Department (GA)"
"367","Kane County Police Department (IL)"
"368","Amarillo Police Department (TX)"
"369","Buckner Police Department (IL)"
"370","Fresno Police Department (CA)"
"371","Nicholas County Sheriff's Office (WV)"
"372","Yellowstone County Sheriff's Office (MT)"
"373","Escambia County Sheriff's Office (FL)"
"374","Arlington Police Department (TX)"
"375","Indio Police Department (CA)"
"376","Tuscola County Sheriff's Department (MI)"
"377","Rockport Police Department (AR)"
"378","Massachusetts State Police Special Tactical Operations (STOP) Team (MA)"
"379","Boardman Police (OH)"
"380","Calais Police Department (ME)"
"381","Deschutes County Sheriff's Department (OR)"
"382","Las Cruces Police Department (NM)"
"383","Ashland Police Department (MA)"
"384","Marinette County Sheriff's Office (WI)"
"385","Richmond County Sheriff's Office (GA)"
"386","Yucaipa Sheriff's Department (CA)"
"387","Jacksonville Police Department (AR)"
"388","Granbury Police Department (TX)"
"389","Atlanta Police Department (GA)"
"390","West Virginia State Police special response team (WV)"
"391","Beltrami County Sheriff's Office (MN)"
"392","Anchorage Police Department (AK)"
"393","Cape Coral Police Department (FL)"
