"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","explicit","track_name","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"1",2019,0.588,0.793,7,-6.23,1,0.0794,0.466,0.000647,0.913,0.694,76.997,112239,FALSE,"Every Hour","https://open.spotify.com/track/1WnqWQcWcuQbVzgE7ecfCY","JESUS IS KING","G","major","G major"
"2",2019,0.482,0.618,9,-5.673,0,0.197,0.647,0.000859,0.32,0.146,90.076,164619,FALSE,"Selah","https://open.spotify.com/track/39JRmdKFka1Oe09FoOCPI4","JESUS IS KING","A","minor","A minor"
"3",2019,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,FALSE,"Follow God","https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h","JESUS IS KING","C#","major","C# major"
"4",2019,0.799,0.291,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984,151873,FALSE,"Closed On Sunday","https://open.spotify.com/track/3JWiDGQX2eTlFvKj3Yssj3","JESUS IS KING","B","minor","B minor"
"5",2019,0.41,0.886,9,-4.413,0,0.155,0.0671,0,0.461,0.393,72.577,136350,FALSE,"On God","https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn","JESUS IS KING","A","minor","A minor"
"6",2019,0.894,0.416,9,-6.823,0,0.0538,0.312,0,0.146,0.463,116.96,116559,FALSE,"Everything We Need","https://open.spotify.com/track/24bnCCysWnbNRNUT4LpHcP","JESUS IS KING","A","minor","A minor"
"7",2019,0.505,0.281,2,-12.404,1,0.1,0.57,0.000254,0.163,0.283,82.338,168419,FALSE,"Water","https://open.spotify.com/track/454Epa1vrCGFddHXKyC1kb","JESUS IS KING","D","major","D major"
"8",2019,0.656,0.637,1,-3.867,1,0.0256,0.34,0,0.187,0.267,105.037,203141,FALSE,"God Is","https://open.spotify.com/track/6xRWoYwfwIKnT8bQGzKbxR","JESUS IS KING","C#","major","C# major"
"9",2019,0.514,0.393,1,-8.72,0,0.529,0.558,0,0.282,0.598,78.039,203174,FALSE,"Hands On","https://open.spotify.com/track/7r6aR2f57resC5r93LwMfK","JESUS IS KING","C#","minor","C# minor"
"10",2019,0.611,0.459,0,-3.926,0,0.0422,0.614,0,0.126,0.177,148.28,213877,FALSE,"Use This Gospel","https://open.spotify.com/track/0oPOuDmmkVp3h6puekhs6P","JESUS IS KING","C","minor","C minor"
"11",2019,0.243,0.26,4,-5.876,0,0.0305,0.828,4.03e-05,0.532,0.327,76.61,49292,FALSE,"Jesus Is Lord","https://open.spotify.com/track/7sBgFMWqDWQgrsNSpIBoe8","JESUS IS KING","E","minor","E minor"
"12",2018,0.58,0.469,0,-5.946,0,0.104,0.126,7.32e-05,0.099,0.369,110.573,165053,TRUE,"Feel The Love","https://open.spotify.com/track/3aUFrxO1B8EW63QchEl3wX","KIDS SEE GHOSTS","C","minor","C minor"
"13",2018,0.709,0.751,6,-3.801,1,0.16,0.472,4.71e-06,0.182,0.37,104.999,140526,TRUE,"Fire","https://open.spotify.com/track/7oHkit3F3vimtsBbnZkU0G","KIDS SEE GHOSTS","F#","major","F# major"
"14",2018,0.765,0.542,1,-6.755,1,0.39,0.278,1.87e-05,0.609,0.734,171.945,153351,TRUE,"4th Dimension","https://open.spotify.com/track/6JyEh4kl9DLwmSAoNDRn5b","KIDS SEE GHOSTS","C#","major","C# major"
"15",2018,0.334,0.81,9,-4.855,0,0.0632,0.00457,0,0.158,0.306,151.643,206605,TRUE,"Freeee (Ghost Town Pt. 2)","https://open.spotify.com/track/7GRTrWsP3yo2Fx8umJfA1X","KIDS SEE GHOSTS","A","minor","A minor"
"16",2018,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,324674,TRUE,"Reborn","https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT","KIDS SEE GHOSTS","C","major","C major"
"17",2018,0.841,0.682,2,-7.007,1,0.0458,0.113,9.65e-05,0.131,0.338,94.985,245098,TRUE,"Kids See Ghosts","https://open.spotify.com/track/2I3dW2dCBZAJGj5X21E53k","KIDS SEE GHOSTS","D","major","D major"
"18",2018,0.729,0.504,8,-6.784,0,0.0321,0.401,1.44e-06,0.121,0.305,110.011,197000,TRUE,"Cudi Montage","https://open.spotify.com/track/4kUZvXB3LC3an3HX6h0s17","KIDS SEE GHOSTS","G#","minor","G# minor"
"19",2018,0.752,0.396,2,-7.932,1,0.411,0.867,0,0.0486,0.417,116.016,274186,TRUE,"I Thought About Killing You","https://open.spotify.com/track/0yhxBvedRdGxsPZHJNI4VA","ye","D","major","D major"
