"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","explicit","track_name","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"51",2013,0.486,0.604,1,-4.591,1,0.344,0.141,0,0.0668,0.45,170.312,234853,TRUE,"I'm In It","https://open.spotify.com/track/52NmkyHsGsHGb1UX8fTkMg","Yeezus","C#","major","C# major"
"52",2013,0.454,0.69,2,-4.108,0,0.157,0.396,0,0.101,0.37,171.989,359800,TRUE,"Blood On The Leaves","https://open.spotify.com/track/42GcjriRK6srwHkfbkBqVl","Yeezus","D","minor","D minor"
"53",2013,0.439,0.666,4,-6.078,0,0.0754,0.159,1.03e-05,0.129,0.579,137.9,243746,TRUE,"Guilt Trip","https://open.spotify.com/track/5nPOM0nFRAJ3XI8xCxNAzO","Yeezus","E","minor","E minor"
"54",2013,0.624,0.544,9,-5.193,1,0.34,0.292,7.41e-05,0.282,0.363,93.585,178040,TRUE,"Send It Up","https://open.spotify.com/track/3RKblQNJs8HPvWBgXmq6nn","Yeezus","A","major","A major"
"55",2013,0.365,0.666,1,-2.821,1,0.0471,0.145,0,0.113,0.311,149.445,229146,TRUE,"Bound 2","https://open.spotify.com/track/3sNVsP50132BTNlImLx70i","Yeezus","C#","major","C# major"
"56",2012,0.722,0.556,4,-8.194,1,0.124,0.211,0,0.104,0.534,141.925,230986,FALSE,"To The World","https://open.spotify.com/track/6TPTfc7wJIT2jh5Aa8VuGz","Good Music Cruel Summer","E","major","E major"
"57",2012,0.717,0.541,9,-5.942,0,0.235,0.0562,0,0.306,0.327,109.448,293533,FALSE,"Clique","https://open.spotify.com/track/7fuuAPjPDyLGyFaJEkSxAb","Good Music Cruel Summer","A","minor","A minor"
"58",2012,0.553,0.57,6,-7.82,0,0.422,0.0514,0.000102,0.424,0.454,140.162,326280,FALSE,"Mercy.1","https://open.spotify.com/track/0nh1o1936u4X7MaatN56j8","Good Music Cruel Summer","F#","minor","F# minor"
"59",2012,0.475,0.949,3,-3.041,0,0.49,0.459,0,0.722,0.398,173.797,357293,FALSE,"New God Flow.1","https://open.spotify.com/track/7yyXLa0qfOqyR17qfy8cm8","Good Music Cruel Summer","D#","minor","D# minor"
"60",2012,0.522,0.582,7,-6.903,1,0.408,0.036,0,0.241,0.185,80.483,275213,FALSE,"The Morning","https://open.spotify.com/track/6oilcOya1YbTc9ibBp2bJs","Good Music Cruel Summer","G","major","G major"
"61",2012,0.671,0.888,4,-4.094,0,0.0831,0.0017,0,0.239,0.612,106.705,216213,FALSE,"Cold.1","https://open.spotify.com/track/69TBeUU01dxrQKZYEzKaVE","Good Music Cruel Summer","E","minor","E minor"
"62",2012,0.658,0.65,5,-7.952,0,0.116,0.0158,0.000211,0.122,0.276,153.974,274280,FALSE,"Higher","https://open.spotify.com/track/2hhfoWnSh1RIYrOhXzhAOA","Good Music Cruel Summer","F","minor","F minor"
"63",2012,0.55,0.625,10,-8.462,0,0.117,0.0425,0,0.0823,0.237,82.946,268386,FALSE,"Sin City","https://open.spotify.com/track/5yyW5zyUXeVcdoBFmxRjAf","Good Music Cruel Summer","A#","minor","A# minor"
"64",2012,0.529,0.757,6,-5.333,0,0.145,0.0391,0,0.127,0.256,139.919,344880,FALSE,"The One","https://open.spotify.com/track/7CfxN8x1qsUrova92PF8P2","Good Music Cruel Summer","F#","minor","F# minor"
